Zip Code,Number of Returns,Adjusted gross income (AGI)
16130,  992 ,"  34,714 "
16131,  449 ,"  15,532 "
16133,  779 ,"  32,312 "
16134,"  1,819 ","  67,963 "
16136,  411 ,"  13,382 "
16137,"  5,607 ","  245,837 "
16141,  866 ,"  33,880 "
16142,"  2,465 ","  126,004 "
16143,"  1,348 ","  56,871 "
16145,"  1,276 ","  51,817 "
16146,"  6,229 ","  206,294 "
16148,"  8,912 ","  439,244 "
16150,"  3,770 ","  166,046 "
16153,"  1,253 ","  51,326 "
16154,"  1,323 ","  53,424 "
16156,"  1,513 ","  66,140 "
16157,"  1,738 ","  66,834 "
16159,"  2,498 ","  107,474 "
16160,  436 ,"  14,797 "
16161,  349 ,"  10,494 "
16201,"  8,482 ","  441,570 "
16210,  455 ,"  16,448 "
16214,"  3,283 ","  212,370 "
16218,  529 ,"  22,617 "
16222,"  1,073 ","  43,561 "
16224,  531 ,"  19,747 "
16226,"  4,129 ","  158,556 "
16229,"  2,648 ","  137,604 "
16230,  265 ,"  8,817 "
16232,"  2,027 ","  73,976 "
16233,  531 ,"  20,218 "
16235,  672 ,"  28,798 "
16239,  811 ,"  25,685 "
16240,  703 ,"  29,725 "
16242,"  2,042 ","  86,170 "
16248,"  1,509 ","  52,204 "
16249,"  1,012 ","  43,007 "
16254,"  1,627 ","  69,740 "
16255,  841 ,"  31,899 "
16256,  603 ,"  19,266 "
16258,  873 ,"  28,771 "
16259,  892 ,"  34,821 "
16262,"  1,395 ","  60,722 "
16301,"  7,642 ","  284,177 "
16313,  957 ,"  40,753 "
16314,"  2,720 ","  104,960 "
16316,"  2,799 ","  119,717 "
16317,  761 ,"  28,102 "
16319,  685 ,"  28,460 "
16323,"  7,814 ","  318,193 "
16327,"  1,288 ","  49,704 "
16335,"  12,742 ","  552,813 "
16340,  879 ,"  31,470 "
16341,"  1,003 ","  39,644 "
16342,"  1,327 ","  40,482 "
16345,"  1,863 ","  91,715 "
16346,"  1,565 ","  62,032 "
16347,"  1,116 ","  38,948 "
16350,"  1,142 ","  41,497 "
16351,  774 ,"  26,217 "
16353,"  1,341 ","  45,644 "
16354,"  5,015 ","  179,039 "
16360,  625 ,"  22,125 "
16362,  521 ,"  17,903 "
16364,  532 ,"  20,456 "
16365,"  9,381 ","  424,226 "
16371,"  1,536 ","  56,194 "
16372,  266 ,"  8,761 "
16373,"  1,596 ","  61,910 "
16374,  853 ,"  32,041 "
16401,"  2,050 ","  73,934 "
16402,  347 ,"  12,161 "
16403,"  2,675 ","  106,339 "
16404,"  1,396 ","  47,028 "
16405,  376 ,"  11,714 "
16406,"  1,552 ","  56,709 "
16407,"  4,874 ","  184,366 "
16410,  900 ,"  36,807 "
16411,  707 ,"  24,495 "
16412,"  4,383 ","  216,036 "
