PENNSYLVANIA,,,
"Individual Income Tax Returns: 
Selected Income and Tax Items by State, 
ZIP Code, and Size of Adjusted Gross Income, 
Tax Year 2010                                                                                                                                                                                                                                                                                                                                                                                                            ",,,
[Money amounts are in thousands of dollars],,,
"ZIP
code [1]",Size of adjusted gross income,Number of returns,Adjusted gross income (AGI)
18350,"$1 under $25,000",291,3270
18350,"$25,000 under $50,000",160,5676
18350,"$50,000 under $75,000",125,7702
18350,"$75,000 under $100,000",100,8609
18350,"$100,000 under $200,000",133,18175
18350,"$200,000 or more",33,14057
,,,
18352,,400,"19,432"
18352,"$1 under $25,000",159,1899
18352,"$25,000 under $50,000",90,3240
18352,"$50,000 under $75,000",58,3579
18352,"$75,000 under $100,000",50,4325
18352,"$100,000 under $200,000",43,6389
18352,"$200,000 or more",**,**
,,,
18353,,5738,"302,607"
18353,"$1 under $25,000",2195,25653
18353,"$25,000 under $50,000",1200,44156
18353,"$50,000 under $75,000",901,55919
18353,"$75,000 under $100,000",657,56775
18353,"$100,000 under $200,000",711,91598
18353,"$200,000 or more",** 74,"** 28,506"
,,,
18354,,622,"29,132"
18354,"$1 under $25,000",263,3264
18354,"$25,000 under $50,000",140,5094
18354,"$50,000 under $75,000",92,5671
18354,"$75,000 under $100,000",58,5104
18354,"$100,000 under $200,000",69,9999
18354,"$200,000 or more",**,**
,,,
18355,,701,"36,747"
18355,"$1 under $25,000",274,3143
18355,"$25,000 under $50,000",161,5753
18355,"$50,000 under $75,000",98,6108
18355,"$75,000 under $100,000",75,6580
18355,"$100,000 under $200,000",93,15163
18355,"$200,000 or more",**,**
,,,
18360,,13047,"699,156"
18360,"$1 under $25,000",5491,62110
18360,"$25,000 under $50,000",2664,95860
18360,"$50,000 under $75,000",1782,110387
18360,"$75,000 under $100,000",1218,105440
18360,"$100,000 under $200,000",1573,209064
18360,"$200,000 or more",** 319,"** 116,295"
,,,
18370,,569,"30,253"
18370,"$1 under $25,000",211,2524
18370,"$25,000 under $50,000",129,4532
18370,"$50,000 under $75,000",92,5671
18370,"$75,000 under $100,000",55,4749
18370,"$100,000 under $200,000",82,12777
18370,"$200,000 or more",**,**
,,,
18371,,314,"19,931"
18371,"$1 under $25,000",93,1097
18371,"$25,000 under $50,000",65,2440
18371,"$50,000 under $75,000",49,3096
18371,"$75,000 under $100,000",56,4820
18371,"$100,000 under $200,000",51,8478
18371,"$200,000 or more",**,**
,,,
18372,,1456,"77,616"
18372,"$1 under $25,000",593,6696
18372,"$25,000 under $50,000",277,10045
18372,"$50,000 under $75,000",219,13451
18372,"$75,000 under $100,000",146,12557
18372,"$100,000 under $200,000",190,25820
18372,"$200,000 or more",** 31,"** 9,047"
,,,
18403,,"3,572","184,575"
18403,"$1 under $25,000",1349,15402
18403,"$25,000 under $50,000",878,31444
18403,"$50,000 under $75,000",547,33849
18403,"$75,000 under $100,000",354,30584
18403,"$100,000 under $200,000",388,50706
18403,"$200,000 or more",56,22590
,,,
18405,,"1,135","49,058"
18405,"$1 under $25,000",497,5636
18405,"$25,000 under $50,000",277,10002
18405,"$50,000 under $75,000",186,11512
18405,"$75,000 under $100,000",87,7448
18405,"$100,000 under $200,000",88,14460
18405,"$200,000 or more",**,**
,,,
18407,,"6,574","261,534"
18407,"$1 under $25,000",3030,36211
18407,"$25,000 under $50,000",1800,63984
18407,"$50,000 under $75,000",838,51384
18407,"$75,000 under $100,000",476,41036
18407,"$100,000 under $200,000",373,46766
18407,"$200,000 or more",** 57,"** 22,153"
,,,
18411,,"10,832","774,226"
18411,"$1 under $25,000",3867,39523
18411,"$25,000 under $50,000",2046,75161
18411,"$50,000 under $75,000",1508,93471
18411,"$75,000 under $100,000",1134,98250
18411,"$100,000 under $200,000",1683,223158
18411,"$200,000 or more",594,244663
,,,
18414,,"2,671","190,256"
18414,"$1 under $25,000",1027,11550
18414,"$25,000 under $50,000",578,21113
18414,"$50,000 under $75,000",376,23425
18414,"$75,000 under $100,000",252,21781
18414,"$100,000 under $200,000",295,38910
18414,"$200,000 or more",143,73477
,,,
18415,,556,"25,981"
18415,"$1 under $25,000",218,2474
18415,"$25,000 under $50,000",135,4818
18415,"$50,000 under $75,000",95,5844
18415,"$75,000 under $100,000",46,3926
18415,"$100,000 under $200,000",62,8919
18415,"$200,000 or more",**,**
,,,
18417,,518,"24,930"
18417,"$1 under $25,000",236,2799
18417,"$25,000 under $50,000",119,4211
18417,"$50,000 under $75,000",90,5578
18417,"$75,000 under $100,000",38,3296
18417,"$100,000 under $200,000",35,9046
18417,"$200,000 or more",**,**
,,,
18419,,1989,"91,879"
18419,"$1 under $25,000",810,9692
18419,"$25,000 under $50,000",494,18021
18419,"$50,000 under $75,000",299,18633
18419,"$75,000 under $100,000",202,17506
18419,"$100,000 under $200,000",159,20648
18419,"$200,000 or more",** 25,"** 7,379"
,,,
18421,,"2,283","97,667"
18421,"$1 under $25,000",1019,12174
18421,"$25,000 under $50,000",588,21407
18421,"$50,000 under $75,000",310,18882
18421,"$75,000 under $100,000",195,16737
18421,"$100,000 under $200,000",146,18089
18421,"$200,000 or more",25,10378
,,,
18424,,"2,303","107,467"
18424,"$1 under $25,000",931,11203
18424,"$25,000 under $50,000",550,20087
18424,"$50,000 under $75,000",384,23725
18424,"$75,000 under $100,000",210,18065
18424,"$100,000 under $200,000",199,25694
18424,"$200,000 or more",29,8693
,,,
18425,,546,"21,559"
18425,"$1 under $25,000",249,3051
18425,"$25,000 under $50,000",133,4732
18425,"$50,000 under $75,000",83,5196
18425,"$75,000 under $100,000",48,4055
18425,"$100,000 under $200,000",33,4525
18425,"$200,000 or more",**,**
,,,
18426,,1863,"88,221"
18426,"$1 under $25,000",784,9233
18426,"$25,000 under $50,000",416,15158
18426,"$50,000 under $75,000",306,19025
18426,"$75,000 under $100,000",161,13882
18426,"$100,000 under $200,000",166,21278
18426,"$200,000 or more",** 30,"** 9,645"
,,,
18428,,"5,504","294,917"
18428,"$1 under $25,000",2204,26190
18428,"$25,000 under $50,000",1281,46457
18428,"$50,000 under $75,000",849,52229
18428,"$75,000 under $100,000",504,43333
18428,"$100,000 under $200,000",571,74654
18428,"$200,000 or more",95,52054
,,,
18431,,"6,198","279,944"
18431,"$1 under $25,000",2821,32506
18431,"$25,000 under $50,000",1471,52637
18431,"$50,000 under $75,000",865,53158
18431,"$75,000 under $100,000",501,43011
18431,"$100,000 under $200,000",436,56843
18431,"$200,000 or more",104,41789
,,,
18433,,"3,339","152,504"
18433,"$1 under $25,000",1399,16900
18433,"$25,000 under $50,000",870,31565
18433,"$50,000 under $75,000",528,32433
18433,"$75,000 under $100,000",274,23502
18433,"$100,000 under $200,000",233,30209
18433,"$200,000 or more",35,17895
,,,
18434,,"2,075","85,358"
18434,"$1 under $25,000",841,10112
18434,"$25,000 under $50,000",583,20921
18434,"$50,000 under $75,000",349,21619
18434,"$75,000 under $100,000",171,14643
18434,"$100,000 under $200,000",131,18063
18434,"$200,000 or more",**,**
,,,
18435,,493,"26,156"
18435,"$1 under $25,000",203,2433
18435,"$25,000 under $50,000",114,4230
18435,"$50,000 under $75,000",70,4361
18435,"$75,000 under $100,000",41,3549
18435,"$100,000 under $200,000",65,11583
18435,"$200,000 or more",**,**
,,,
18436,,6083,"306,404"
18436,"$1 under $25,000",2439,28479
18436,"$25,000 under $50,000",1449,52481
18436,"$50,000 under $75,000",938,57727
18436,"$75,000 under $100,000",581,50026
18436,"$100,000 under $200,000",580,75278
18436,"$200,000 or more",** 96,"** 42,413"
,,,
18437,,104,"3,528"
18437,"$1 under $25,000",49,596
18437,"$25,000 under $50,000",55,2932
18437,"$50,000 under $75,000",**,**
18437,"$75,000 under $100,000",**,**
18437,"$100,000 under $200,000",**,**
18437,"$200,000 or more",**,**
,,,
18438,,574,"40,373"
18438,"$1 under $25,000",233,3094
18438,"$25,000 under $50,000",131,4672
18438,"$50,000 under $75,000",** 74,"** 4,509"
18438,"$75,000 under $100,000",** 56,"** 4,860"
18438,"$100,000 under $200,000",** 58,"** 7,676"
18438,"$200,000 or more",22,15562
,,,
18439,,260,"12,076"
18439,"$1 under $25,000",105,1091
18439,"$25,000 under $50,000",60,2140
18439,"$50,000 under $75,000",45,2736
18439,"$75,000 under $100,000",23,1992
18439,"$100,000 under $200,000",27,4117
18439,"$200,000 or more",**,**
,,,
18441,,101,"3,966"
18441,"$1 under $25,000",49,594
18441,"$25,000 under $50,000",52,3372
18441,"$50,000 under $75,000",**,**
18441,"$75,000 under $100,000",**,**
18441,"$100,000 under $200,000",**,**
18441,"$200,000 or more",**,**
,,,
18443,,225,"11,248"
18443,"$1 under $25,000",92,1054
18443,"$25,000 under $50,000",47,1728
18443,"$50,000 under $75,000",** 61,"** 4,142"
18443,"$75,000 under $100,000",**,**
18443,"$100,000 under $200,000",** 25,"** 4,324"
18443,"$200,000 or more",**,**
,,,
18444,,6315,"355,341"
18444,"$1 under $25,000",2297,25825
18444,"$25,000 under $50,000",1417,52194
18444,"$50,000 under $75,000",1003,61672
18444,"$75,000 under $100,000",** 693,"** 59,933"
18444,"$100,000 under $200,000",752,97561
18444,"$200,000 or more",** 153,"** 58,156"
,,,
18445,,"1,046","45,685"
18445,"$1 under $25,000",462,5685
18445,"$25,000 under $50,000",249,8873
18445,"$50,000 under $75,000",144,8804
18445,"$75,000 under $100,000",92,7927
18445,"$100,000 under $200,000",99,14396
18445,"$200,000 or more",**,**
,,,
18446,,"1,688","72,698"
18446,"$1 under $25,000",757,8801
18446,"$25,000 under $50,000",398,14352
18446,"$50,000 under $75,000",274,16985
18446,"$75,000 under $100,000",137,11788
18446,"$100,000 under $200,000",97,12460
18446,"$200,000 or more",** 25,"** 8,312"
,,,
18447,,"5,370","236,493"
18447,"$1 under $25,000",2151,26421
18447,"$25,000 under $50,000",1464,53179
18447,"$50,000 under $75,000",849,51784
18447,"$75,000 under $100,000",488,41721
18447,"$100,000 under $200,000",378,47608
18447,"$200,000 or more",40,15780
,,,
18451,,246,"16,651"
18451,"$1 under $25,000",90,1023
18451,"$25,000 under $50,000",66,2483
18451,"$50,000 under $75,000",54,3710
18451,"$75,000 under $100,000",**,**
18451,"$100,000 under $200,000",36,9435
18451,"$200,000 or more",**,**
,,,
18452,,2364,"109,239"
18452,"$1 under $25,000",921,11051
18452,"$25,000 under $50,000",631,22750
18452,"$50,000 under $75,000",377,23138
18452,"$75,000 under $100,000",** 227,"** 19,647"
18452,"$100,000 under $200,000",183,23069
18452,"$200,000 or more",** 25,"** 9,584"
,,,
18453,,477,"24,438"
18453,"$1 under $25,000",181,2348
18453,"$25,000 under $50,000",123,4508
18453,"$50,000 under $75,000",83,5116
18453,"$75,000 under $100,000",47,4002
18453,"$100,000 under $200,000",43,8464
18453,"$200,000 or more",**,**
,,,
18456,,210,"8,028"
18456,"$1 under $25,000",96,1015
18456,"$25,000 under $50,000",50,1766
18456,"$50,000 under $75,000",64,5247
18456,"$75,000 under $100,000",**,**
18456,"$100,000 under $200,000",**,**
18456,"$200,000 or more",**,**
,,,
18458,,1338,"77,155"
18458,"$1 under $25,000",498,5804
18458,"$25,000 under $50,000",261,9684
18458,"$50,000 under $75,000",212,13031
18458,"$75,000 under $100,000",** 161,"** 13,989"
18458,"$100,000 under $200,000",** 171,"** 22,382"
18458,"$200,000 or more",** 35,"** 12,265"
,,,
18461,,143,"4,845"
18461,"$1 under $25,000",70,890
18461,"$25,000 under $50,000",73,3955
18461,"$50,000 under $75,000",**,**
18461,"$75,000 under $100,000",**,**
18461,"$100,000 under $200,000",**,**
18461,"$200,000 or more",**,**
,,,
18462,,216,"9,045"
18462,"$1 under $25,000",102,1146
18462,"$25,000 under $50,000",53,1884
18462,"$50,000 under $75,000",** 61,"** 6,015"
18462,"$75,000 under $100,000",**,**
18462,"$100,000 under $200,000",**,**
18462,"$200,000 or more",**,**
,,,
18463,,110,"4,667"
18463,"$1 under $25,000",49,652
18463,"$25,000 under $50,000",21,728
18463,"$50,000 under $75,000",40,3287
18463,"$75,000 under $100,000",**,**
18463,"$100,000 under $200,000",**,**
18463,"$200,000 or more",**,**
,,,
18464,,645,"42,742"
18464,"$1 under $25,000",252,3024
18464,"$25,000 under $50,000",124,4484
18464,"$50,000 under $75,000",** 99,"** 5,994"
18464,"$75,000 under $100,000",** 72,"** 6,168"
18464,"$100,000 under $200,000",** 98,"** 23,072"
18464,"$200,000 or more",**,**
,,,
18465,,623,"35,608"
18465,"$1 under $25,000",259,2879
18465,"$25,000 under $50,000",150,5489
18465,"$50,000 under $75,000",104,6408
18465,"$75,000 under $100,000",43,3679
18465,"$100,000 under $200,000",47,5939
18465,"$200,000 or more",20,11214
,,,
18466,,6804,"282,674"
18466,"$1 under $25,000",2874,35973
18466,"$25,000 under $50,000",1852,67036
18466,"$50,000 under $75,000",1022,62909
18466,"$75,000 under $100,000",569,48934
18466,"$100,000 under $200,000",462,57677
18466,"$200,000 or more",** 25,"** 10,145"
,,,
18469,,198,"9,242"
18469,"$1 under $25,000",80,866
18469,"$25,000 under $50,000",34,1136
18469,"$50,000 under $75,000",33,2029
18469,"$75,000 under $100,000",29,2464
18469,"$100,000 under $200,000",22,2747
18469,"$200,000 or more",**,**
,,,
18470,,1044,"55,145"
18470,"$1 under $25,000",423,5221
18470,"$25,000 under $50,000",244,8984
18470,"$50,000 under $75,000",167,10366
18470,"$75,000 under $100,000",88,7549
18470,"$100,000 under $200,000",92,11996
18470,"$200,000 or more",** 30,"** 11,029"
,,,
18472,,"1,977","87,201"
18472,"$1 under $25,000",844,10128
18472,"$25,000 under $50,000",497,18074
18472,"$50,000 under $75,000",303,18529
18472,"$75,000 under $100,000",181,15546
18472,"$100,000 under $200,000",152,24924
18472,"$200,000 or more",**,**
,,,
18503,,349,"10,568"
18503,"$1 under $25,000",222,2449
18503,"$25,000 under $50,000",127,8119
18503,"$50,000 under $75,000",**,**
18503,"$75,000 under $100,000",**,**
18503,"$100,000 under $200,000",**,**
18503,"$200,000 or more",**,**
,,,
18504,,10298,"369,862"
18504,"$1 under $25,000",5150,63322
18504,"$25,000 under $50,000",2723,97141
18504,"$50,000 under $75,000",1207,74098
18504,"$75,000 under $100,000",** 670,"** 57,728"
18504,"$100,000 under $200,000",** 503,"** 62,835"
18504,"$200,000 or more",** 45,"** 14,738"
,,,
18505,,"9,750","353,840"
18505,"$1 under $25,000",5078,62578
18505,"$25,000 under $50,000",2434,86239
18505,"$50,000 under $75,000",1138,69533
18505,"$75,000 under $100,000",582,50091
18505,"$100,000 under $200,000",440,55904
18505,"$200,000 or more",78,29495
,,,
18507,,"2,513","161,474"
18507,"$1 under $25,000",984,11946
18507,"$25,000 under $50,000",590,21442
18507,"$50,000 under $75,000",402,24657
18507,"$75,000 under $100,000",187,16021
18507,"$100,000 under $200,000",230,30552
18507,"$200,000 or more",120,56856
,,,
18508,,"5,271","166,352"
18508,"$1 under $25,000",2820,34424
18508,"$25,000 under $50,000",1407,49523
18508,"$50,000 under $75,000",603,36837
18508,"$75,000 under $100,000",278,23945
18508,"$100,000 under $200,000",163,21623
18508,"$200,000 or more",**,**
,,,
18509,,"5,699","250,598"
18509,"$1 under $25,000",2762,32196
18509,"$25,000 under $50,000",1384,49537
18509,"$50,000 under $75,000",695,42420
18509,"$75,000 under $100,000",374,32564
18509,"$100,000 under $200,000",379,50693
18509,"$200,000 or more",** 105,"** 43,188"
,,,
18510,,"4,808","176,872"
18510,"$1 under $25,000",2442,29913
18510,"$25,000 under $50,000",1348,48046
18510,"$50,000 under $75,000",522,31895
18510,"$75,000 under $100,000",222,18854
18510,"$100,000 under $200,000",231,29666
18510,"$200,000 or more",43,18498
,,,
18512,,"6,554","283,588"
18512,"$1 under $25,000",2785,33596
18512,"$25,000 under $50,000",1875,67418
18512,"$50,000 under $75,000",918,56200
18512,"$75,000 under $100,000",496,42837
18512,"$100,000 under $200,000",415,53039
18512,"$200,000 or more",65,30498
,,,
18517,,"2,661","97,641"
18517,"$1 under $25,000",1207,14567
18517,"$25,000 under $50,000",754,26845
18517,"$50,000 under $75,000",379,23109
18517,"$75,000 under $100,000",195,16752
18517,"$100,000 under $200,000",126,16368
18517,"$200,000 or more",**,**
,,,
18518,,"4,228","190,498"
18518,"$1 under $25,000",1725,20391
18518,"$25,000 under $50,000",1130,40939
18518,"$50,000 under $75,000",616,38025
18518,"$75,000 under $100,000",353,30353
18518,"$100,000 under $200,000",355,45442
18518,"$200,000 or more",** 49,"** 15,348"
,,,
18519,,"2,695","102,518"
18519,"$1 under $25,000",1203,15036
18519,"$25,000 under $50,000",783,27957
18519,"$50,000 under $75,000",384,23343
18519,"$75,000 under $100,000",176,15062
18519,"$100,000 under $200,000",149,21120
18519,"$200,000 or more",**,**
,,,
18603,,"9,163","374,080"
18603,"$1 under $25,000",4092,49397
18603,"$25,000 under $50,000",2471,88317
18603,"$50,000 under $75,000",1360,83429
18603,"$75,000 under $100,000",627,53734
18603,"$100,000 under $200,000",534,68536
18603,"$200,000 or more",** 79,"** 30,667"
,,,
18610,,"2,151","102,502"
18610,"$1 under $25,000",818,9807
18610,"$25,000 under $50,000",526,19303
18610,"$50,000 under $75,000",346,21046
18610,"$75,000 under $100,000",220,19110
18610,"$100,000 under $200,000",241,33236
18610,"$200,000 or more",**,**
,,,
18612,,"7,187","523,763"
18612,"$1 under $25,000",2569,28199
18612,"$25,000 under $50,000",1496,55153
18612,"$50,000 under $75,000",1078,66842
18612,"$75,000 under $100,000",773,66632
18612,"$100,000 under $200,000",969,126879
18612,"$200,000 or more",** 302,"** 180,058"
,,,
18614,,"1,255","53,989"
18614,"$1 under $25,000",572,6482
18614,"$25,000 under $50,000",302,10955
18614,"$50,000 under $75,000",173,10705
18614,"$75,000 under $100,000",102,8716
18614,"$100,000 under $200,000",106,17131
18614,"$200,000 or more",**,**
,,,
18615,,695,"30,389"
18615,"$1 under $25,000",283,3259
18615,"$25,000 under $50,000",192,7130
18615,"$50,000 under $75,000",113,6897
18615,"$75,000 under $100,000",66,5654
18615,"$100,000 under $200,000",41,7449
18615,"$200,000 or more",**,**
,,,
18616,,350,"15,274"
18616,"$1 under $25,000",157,1824
18616,"$25,000 under $50,000",79,2910
18616,"$50,000 under $75,000",63,3778
18616,"$75,000 under $100,000",51,6762
18616,"$100,000 under $200,000",**,**
18616,"$200,000 or more",**,**
,,,
18617,,832,"25,864"
18617,"$1 under $25,000",431,5359
18617,"$25,000 under $50,000",238,8564
18617,"$50,000 under $75,000",104,6376
18617,"$75,000 under $100,000",59,5565
18617,"$100,000 under $200,000",**,**
18617,"$200,000 or more",**,**
,,,
18618,,1639,"91,809"
18618,"$1 under $25,000",639,7476
18618,"$25,000 under $50,000",404,14537
18618,"$50,000 under $75,000",261,15878
18618,"$75,000 under $100,000",143,12301
18618,"$100,000 under $200,000",141,17891
18618,"$200,000 or more",** 51,"** 23,726"
,,,
18619,,115,"4,652"
18619,"$1 under $25,000",41,473
18619,"$25,000 under $50,000",74,4179
18619,"$50,000 under $75,000",**,**
18619,"$75,000 under $100,000",**,**
18619,"$100,000 under $200,000",**,**
18619,"$200,000 or more",**,**
,,,
18621,,2385,"108,468"
18621,"$1 under $25,000",923,11199
18621,"$25,000 under $50,000",588,21563
18621,"$50,000 under $75,000",411,25074
18621,"$75,000 under $100,000",** 262,"** 22,504"
18621,"$100,000 under $200,000",** 201,"** 28,128"
18621,"$200,000 or more",**,**
,,,
18622,,134,"5,901"
18622,"$1 under $25,000",57,730
18622,"$25,000 under $50,000",77,5171
18622,"$50,000 under $75,000",**,**
18622,"$75,000 under $100,000",**,**
18622,"$100,000 under $200,000",**,**
18622,"$200,000 or more",**,**
,,,
18623,,766,"33,416"
18623,"$1 under $25,000",339,3745
18623,"$25,000 under $50,000",209,7531
18623,"$50,000 under $75,000",108,6600
18623,"$75,000 under $100,000",** 48,"** 4,150"
18623,"$100,000 under $200,000",** 62,"** 11,390"
18623,"$200,000 or more",**,**
,,,
18628,,118,"3,665"
18628,"$1 under $25,000",67,608
18628,"$25,000 under $50,000",51,3057
18628,"$50,000 under $75,000",**,**
18628,"$75,000 under $100,000",**,**
18628,"$100,000 under $200,000",**,**
18628,"$200,000 or more",0,0
,,,
18629,,843,"43,631"
18629,"$1 under $25,000",317,3889
18629,"$25,000 under $50,000",218,7884
18629,"$50,000 under $75,000",** 148,"** 9,143"
18629,"$75,000 under $100,000",** 79,"** 6,790"
18629,"$100,000 under $200,000",** 81,"** 15,925"
18629,"$200,000 or more",**,**
,,,
18630,,1546,"78,082"
18630,"$1 under $25,000",642,7205
18630,"$25,000 under $50,000",408,14772
18630,"$50,000 under $75,000",264,16245
18630,"$75,000 under $100,000",116,10026
18630,"$100,000 under $200,000",95,12011
18630,"$200,000 or more",** 21,"** 17,823"
,,,
18632,,183,"5,860"
18632,"$1 under $25,000",86,1004
18632,"$25,000 under $50,000",56,1983
18632,"$50,000 under $75,000",41,2873
18632,"$75,000 under $100,000",**,**
18632,"$100,000 under $200,000",**,**
18632,"$200,000 or more",**,**
,,,
18634,,6773,"247,547"
18634,"$1 under $25,000",3252,39418
18634,"$25,000 under $50,000",1820,65017
18634,"$50,000 under $75,000",866,52963
18634,"$75,000 under $100,000",** 480,"** 41,287"
18634,"$100,000 under $200,000",** 332,"** 41,356"
18634,"$200,000 or more",** 23,"** 7,506"
,,,
18635,,"1,899","84,754"
18635,"$1 under $25,000",752,9373
18635,"$25,000 under $50,000",495,18216
18635,"$50,000 under $75,000",336,20608
18635,"$75,000 under $100,000",167,14256
18635,"$100,000 under $200,000",149,22301
18635,"$200,000 or more",**,**
,,,
18636,,635,"25,789"
18636,"$1 under $25,000",254,3004
18636,"$25,000 under $50,000",171,6250
18636,"$50,000 under $75,000",125,7774
18636,"$75,000 under $100,000",52,4430
18636,"$100,000 under $200,000",33,4331
18636,"$200,000 or more",**,**
,,,
18640,,8396,"370,144"
18640,"$1 under $25,000",3717,44452
18640,"$25,000 under $50,000",2226,79613
18640,"$50,000 under $75,000",1165,71176
18640,"$75,000 under $100,000",629,54452
18640,"$100,000 under $200,000",554,71783
18640,"$200,000 or more",** 105,"** 48,668"
,,,
18641,,"3,484","147,620"
18641,"$1 under $25,000",1468,17776
18641,"$25,000 under $50,000",970,34967
18641,"$50,000 under $75,000",529,32477
18641,"$75,000 under $100,000",276,23707
18641,"$100,000 under $200,000",241,38693
18641,"$200,000 or more",**,**
,,,
18642,,"2,152","97,583"
18642,"$1 under $25,000",867,10848
18642,"$25,000 under $50,000",584,20950
18642,"$50,000 under $75,000",303,18679
18642,"$75,000 under $100,000",169,14428
18642,"$100,000 under $200,000",229,32678
18642,"$200,000 or more",**,**
,,,
18643,,"6,272","292,984"
18643,"$1 under $25,000",2635,31209
18643,"$25,000 under $50,000",1575,57227
18643,"$50,000 under $75,000",928,56984
18643,"$75,000 under $100,000",548,46928
18643,"$100,000 under $200,000",492,63010
18643,"$200,000 or more",** 94,"** 37,626"
,,,
18644,,"3,953","204,368"
18644,"$1 under $25,000",1517,17155
18644,"$25,000 under $50,000",1006,36455
18644,"$50,000 under $75,000",613,37928
18644,"$75,000 under $100,000",369,31624
18644,"$100,000 under $200,000",370,47176
18644,"$200,000 or more",78,34030
,,,
18651,,"4,354","146,685"
18651,"$1 under $25,000",2237,28398
18651,"$25,000 under $50,000",1210,43237
18651,"$50,000 under $75,000",480,29094
18651,"$75,000 under $100,000",248,21197
18651,"$100,000 under $200,000",179,24759
18651,"$200,000 or more",**,**
,,,
18655,,"2,862","130,970"
18655,"$1 under $25,000",1097,13298
18655,"$25,000 under $50,000",754,27127
18655,"$50,000 under $75,000",478,29510
18655,"$75,000 under $100,000",289,25088
18655,"$100,000 under $200,000",224,28424
18655,"$200,000 or more",** 20,"** 7,523"
,,,
18656,,"1,030","50,084"
18656,"$1 under $25,000",388,4770
18656,"$25,000 under $50,000",237,8556
18656,"$50,000 under $75,000",181,11140
18656,"$75,000 under $100,000",110,9553
18656,"$100,000 under $200,000",114,16065
18656,"$200,000 or more",**,**
,,,
18657,,"5,609","286,548"
18657,"$1 under $25,000",2210,25164
18657,"$25,000 under $50,000",1270,46282
18657,"$50,000 under $75,000",934,57297
18657,"$75,000 under $100,000",540,46414
18657,"$100,000 under $200,000",547,70578
18657,"$200,000 or more",** 108,"** 40,813"
,,,
18660,,"1,877","88,041"
18660,"$1 under $25,000",683,8152
18660,"$25,000 under $50,000",493,17855
18660,"$50,000 under $75,000",335,20772
18660,"$75,000 under $100,000",210,18078
18660,"$100,000 under $200,000",156,23184
18660,"$200,000 or more",**,**
,,,
18661,,"2,748","116,346"
18661,"$1 under $25,000",1152,13342
18661,"$25,000 under $50,000",744,26916
18661,"$50,000 under $75,000",414,25631
18661,"$75,000 under $100,000",224,19267
18661,"$100,000 under $200,000",185,23372
18661,"$200,000 or more",** 29,"** 7,818"
,,,
18701,,730,"23,092"
18701,"$1 under $25,000",440,5177
18701,"$25,000 under $50,000",187,6480
18701,"$50,000 under $75,000",52,3158
18701,"$75,000 under $100,000",51,8277
18701,"$100,000 under $200,000",**,**
18701,"$200,000 or more",**,**
,,,
18702,,18431,"700,454"
18702,"$1 under $25,000",9419,114057
18702,"$25,000 under $50,000",4599,163764
18702,"$50,000 under $75,000",2188,133941
18702,"$75,000 under $100,000","** 1,047","** 90,127"
18702,"$100,000 under $200,000",987,126842
18702,"$200,000 or more",** 191,"** 71,723"
,,,
18704,,"15,751","710,686"
18704,"$1 under $25,000",6888,82889
18704,"$25,000 under $50,000",4043,145701
18704,"$50,000 under $75,000",2281,140018
18704,"$75,000 under $100,000",1232,106103
18704,"$100,000 under $200,000",1075,137474
18704,"$200,000 or more",232,98501
,,,
18705,,"7,551","303,092"
18705,"$1 under $25,000",3354,41254
18705,"$25,000 under $50,000",2154,77308
18705,"$50,000 under $75,000",992,60369
18705,"$75,000 under $100,000",567,48853
18705,"$100,000 under $200,000",426,53714
18705,"$200,000 or more",58,21594
,,,
18706,,"8,010","316,076"
18706,"$1 under $25,000",3632,44059
18706,"$25,000 under $50,000",2179,77740
18706,"$50,000 under $75,000",1131,69263
18706,"$75,000 under $100,000",586,50536
18706,"$100,000 under $200,000",438,55121
18706,"$200,000 or more",44,19357
,,,
18707,,"7,704","517,271"
18707,"$1 under $25,000",2598,27294
18707,"$25,000 under $50,000",1476,53607
18707,"$50,000 under $75,000",1164,72470
18707,"$75,000 under $100,000",886,76668
18707,"$100,000 under $200,000",1245,166126
18707,"$200,000 or more",335,121106
,,,
18708,,"4,521","368,254"
18708,"$1 under $25,000",1587,16945
18708,"$25,000 under $50,000",872,31662
18708,"$50,000 under $75,000",687,42663
18708,"$75,000 under $100,000",472,40839
18708,"$100,000 under $200,000",631,84289
18708,"$200,000 or more",272,151856
,,,
18709,,"1,457","49,048"
18709,"$1 under $25,000",693,8885
18709,"$25,000 under $50,000",443,15725
18709,"$50,000 under $75,000",204,12417
18709,"$75,000 under $100,000",77,6479
18709,"$100,000 under $200,000",40,5542
18709,"$200,000 or more",**,**
,,,
18801,,"3,909","190,594"
18801,"$1 under $25,000",1656,18675
18801,"$25,000 under $50,000",981,35231
18801,"$50,000 under $75,000",539,33293
18801,"$75,000 under $100,000",343,29613
18801,"$100,000 under $200,000",311,40925
18801,"$200,000 or more",** 79,"** 32,857"
,,,
18810,,"2,734","143,457"
18810,"$1 under $25,000",1141,13448
18810,"$25,000 under $50,000",657,24000
18810,"$50,000 under $75,000",399,24436
18810,"$75,000 under $100,000",242,20878
18810,"$100,000 under $200,000",218,28029
18810,"$200,000 or more",77,32666
,,,
18812,,754,"49,321"
18812,"$1 under $25,000",259,2973
18812,"$25,000 under $50,000",141,5228
18812,"$50,000 under $75,000",123,7688
18812,"$75,000 under $100,000",99,8521
18812,"$100,000 under $200,000",96,13166
18812,"$200,000 or more",36,11745
